DefAdv_Unnamed: 0_level_0 Rk,Player,DefAdv_Unnamed: 2_level_0 Age,DefAdv_Unnamed: 3_level_0 Team,DefAdv_Unnamed: 4_level_0 Pos,DefAdv_Unnamed: 5_level_0 G,DefAdv_Unnamed: 6_level_0 GS,DefAdv_Pass Coverage Int,DefAdv_Pass Coverage Tgt,DefAdv_Pass Coverage Cmp,DefAdv_Pass Coverage Cmp%,DefAdv_Pass Coverage Yds,DefAdv_Pass Coverage Yds/Cmp,DefAdv_Pass Coverage Yds/Tgt,DefAdv_Pass Coverage TD,DefAdv_Pass Coverage Rat,DefAdv_Pass Coverage DADOT,DefAdv_Pass Coverage Air,DefAdv_Pass Coverage YAC,DefAdv_Pass Rush Bltz,DefAdv_Pass Rush Hrry,DefAdv_Pass Rush QBKD,DefAdv_Pass Rush Bats,DefAdv_Pass Rush Sk,DefAdv_Pass Rush Prss,DefAdv_Tackles Comb,DefAdv_Tackles MTkl,DefAdv_Tackles MTkl%,DefAdv_Unnamed: 28_level_0 Awards,Year
1.0,Jordyn Brooks,28.0,MIA,LB,13.0,13.0,0.0,65.0,50.0,76.9,516.0,10.3,7.9,1.0,104.4,3.5,175.0,341.0,29.0,3.0,0.0,0.0,2.5,6.0,142.0,6.0,4.1,,2025
2.0,Devin White,27.0,LVR,LB,13.0,13.0,1.0,65.0,49.0,75.4,327.0,6.7,5.0,1.0,84.6,2.3,127.0,200.0,49.0,2.0,3.0,0.0,1.0,6.0,133.0,18.0,11.9,,2025
3.0,Bobby Wagner,35.0,WAS,MLB,13.0,13.0,2.0,45.0,30.0,66.7,381.0,12.7,8.5,2.0,89.2,2.8,89.0,292.0,32.0,2.0,3.0,0.0,3.0,8.0,131.0,5.0,3.7,,2025
4.0,Jack Campbell,25.0,DET,LB,13.0,13.0,0.0,44.0,33.0,75.0,281.0,8.5,6.4,3.0,113.9,4.8,101.0,180.0,59.0,5.0,1.0,0.0,5.0,11.0,129.0,5.0,3.7,,2025
5.0,Cedric Gray,23.0,TEN,LB,13.0,13.0,0.0,52.0,42.0,80.8,387.0,9.2,7.4,1.0,104.1,2.6,65.0,322.0,30.0,2.0,2.0,0.0,1.0,5.0,128.0,6.0,4.5,,2025
6.0,Jamien Sherwood,25.0,NYJ,LB,13.0,12.0,0.0,47.0,36.0,76.6,345.0,9.6,7.3,2.0,110.7,4.8,112.0,233.0,42.0,3.0,2.0,2.0,1.0,6.0,121.0,8.0,6.2,,2025
7.0,Carson Schwesinger,22.0,CLE,LB,13.0,13.0,2.0,36.0,28.0,77.8,278.0,9.9,7.7,4.0,112.7,2.2,67.0,211.0,50.0,2.0,3.0,0.0,1.5,7.0,119.0,9.0,7.0,,2025
8.0,Demario Davis,36.0,NOR,LB,13.0,13.0,0.0,32.0,25.0,78.1,234.0,9.4,7.3,2.0,118.0,2.9,44.0,190.0,19.0,1.0,1.0,0.0,0.0,2.0,118.0,12.0,9.2,,2025
9.0,Nick Bolton,25.0,KAN,LB,13.0,13.0,0.0,69.0,55.0,79.7,523.0,9.5,7.6,3.0,112.7,3.8,140.0,383.0,69.0,5.0,5.0,1.0,0.0,10.0,112.0,10.0,8.2,,2025
10.0,Bobby Okereke,29.0,NYG,LB,13.0,13.0,0.0,55.0,37.0,67.3,351.0,9.5,6.4,2.0,96.9,3.6,126.0,225.0,20.0,0.0,0.0,0.0,1.0,1.0,110.0,6.0,5.2,,2025
11.0,Payton Wilson,25.0,PIT,LB,13.0,4.0,1.0,43.0,39.0,90.7,342.0,8.8,8.0,2.0,105.6,4.7,175.0,167.0,45.0,1.0,1.0,1.0,1.0,3.0,109.0,9.0,7.6,,2025
12.0,Nathan Landman,27.0,LAR,LB,13.0,13.0,1.0,47.0,33.0,70.2,316.0,9.6,6.7,3.0,101.0,3.1,99.0,217.0,27.0,3.0,2.0,1.0,1.5,7.0,108.0,7.0,6.1,,2025
13.0,Zack Baun,29.0,PHI,LB,13.0,13.0,1.0,49.0,34.0,69.4,233.0,6.9,4.8,1.0,78.0,3.5,81.0,152.0,45.0,1.0,2.0,0.0,3.5,7.0,104.0,13.0,11.1,,2025
14.0,Jeremy Chinn,27.0,LVR,S,13.0,13.0,0.0,49.0,39.0,79.6,384.0,9.8,7.8,4.0,126.5,4.7,163.0,221.0,15.0,0.0,0.0,0.0,1.0,1.0,104.0,9.0,8.0,,2025
15.0,Foyesade Oluokun,30.0,JAX,LB,13.0,13.0,1.0,59.0,50.0,84.7,435.0,8.7,7.4,0.0,90.3,3.2,137.0,298.0,57.0,1.0,2.0,3.0,1.0,4.0,103.0,17.0,14.2,,2025
16.0,Alex Singleton,32.0,DEN,LB,12.0,12.0,0.0,49.0,38.0,77.6,491.0,12.9,10.0,3.0,128.8,6.0,218.0,273.0,33.0,2.0,3.0,0.0,1.0,6.0,103.0,8.0,7.2,,2025
17.0,Jordan Battle,25.0,CIN,S,13.0,13.0,3.0,38.0,24.0,63.2,497.0,20.7,13.1,2.0,91.4,12.9,250.0,247.0,12.0,0.0,0.0,0.0,0.0,0.0,101.0,18.0,15.1,,2025
18.0,Roquan Smith,28.0,BAL,LB,11.0,11.0,0.0,53.0,39.0,73.6,311.0,8.0,5.9,2.0,100.4,4.0,162.0,149.0,46.0,2.0,4.0,0.0,0.0,6.0,100.0,9.0,8.3,,2025
19.0,Tyrel Dodson,27.0,MIA,LB,12.0,12.0,1.0,50.0,39.0,78.0,387.0,9.9,7.7,3.0,110.6,5.0,183.0,204.0,21.0,2.0,1.0,0.0,4.0,7.0,98.0,10.0,9.3,,2025
