Def_Unnamed: 0_level_0 Rk,Player,Def_Unnamed: 2_level_0 Age,Def_Unnamed: 3_level_0 Team,Def_Unnamed: 4_level_0 Pos,Def_Unnamed: 5_level_0 G,Def_Unnamed: 6_level_0 GS,Def_Def Interceptions Int,Def_Def Interceptions Yds,Def_Def Interceptions IntTD,Def_Def Interceptions Lng,Def_Def Interceptions PD,Def_Fumbles FF,Def_Fumbles Fmb,Def_Fumbles FR,Def_Fumbles Yds,Def_Fumbles FRTD,Def_Unnamed: 17_level_0 Sk,Def_Tackles Comb,Def_Tackles Solo,Def_Tackles Ast,Def_Tackles TFL,Def_Tackles QBHits,Def_Unnamed: 23_level_0 Sfty,Def_Unnamed: 24_level_0 Awards,Year
1,Dre'Mont Jones,28,2TM,OLB,14,14,0,0,0,0,1,0,0,1,2,0,6.0,33,16,17,6,16,0,,2025
1,Dre'Mont Jones,28,TEN,OLB,9,9,0,0,0,0,0,0,0,1,2,0,4.5,26,13,13,5,9,0,,2025
1,Dre'Mont Jones,28,BAL,DE,5,5,0,0,0,0,1,0,0,0,0,0,1.5,7,3,4,1,7,0,,2025
2,Jaelan Phillips,26,2TM,LB,14,14,0,0,0,0,2,0,0,2,4,0,4.0,46,25,21,6,12,0,,2025
2,Jaelan Phillips,26,MIA,LB,9,9,0,0,0,0,0,0,0,1,4,0,3.0,25,15,10,3,7,0,,2025
2,Jaelan Phillips,26,PHI,OLB,5,5,0,0,0,0,2,0,0,1,0,0,1.0,21,10,11,3,5,0,,2025
3,Rashid Shaheed,27,2TM,WR,14,12,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,2025
3,Rashid Shaheed,27,NOR,WR,9,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,2025
3,Rashid Shaheed,27,SEA,WR,5,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,2025
4,De'Von Achane,24,MIA,RB,13,13,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,2025
5,Azeez Al-Shaair,28,HOU,LB,13,13,1,0,0,0,8,1,0,1,0,0,0.0,84,39,45,1,2,0,,2025
6,Jonathan Allen,30,MIN,DL,13,13,0,0,0,0,0,0,0,1,0,0,2.5,48,21,27,5,10,0,,2025
7,Josh Allen,29,BUF,QB,13,13,0,0,0,0,0,0,5,1,-11,0,0.0,0,0,0,0,0,0,,2025
8,Zach Allen,28,DEN,DL,13,13,0,0,0,0,6,0,0,0,0,0,6.0,31,11,20,3,34,0,,2025
9,Will Anderson,24,HOU,DE,13,13,0,0,0,0,3,3,0,2,0,1,10.5,43,27,16,16,20,0,,2025
10,Alex Anzalone,31,DET,LB,13,13,1,14,0,14,7,0,0,0,0,0,1.5,79,44,35,3,5,0,,2025
11,Budda Baker,29,ARI,S,13,13,1,0,0,0,4,0,0,1,1,0,0.5,93,41,52,2,1,0,,2025
12,Saquon Barkley,28,PHI,RB,13,13,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,2025
13,AJ Barner,23,SEA,TE,13,13,0,0,0,0,0,0,2,2,0,0,0.0,1,1,0,0,0,0,,2025
14,Derrick Barnes,26,DET,LB,13,13,1,23,0,23,2,0,0,0,0,0,4.0,62,32,30,6,5,1,,2025
15,Cody Barton,29,TEN,LB,13,13,3,25,1,24,10,0,0,0,0,0,1.0,67,33,34,4,1,0,,2025
16,Graham Barton,23,TAM,C,13,13,0,0,0,0,0,0,1,1,-11,0,0.0,0,0,0,0,0,0,,2025
17,Jessie Bates III,28,ATL,S,13,13,2,20,0,17,4,1,0,0,0,0,0.0,77,43,34,1,2,0,,2025
18,Jordan Battle,25,CIN,S,13,13,3,6,0,4,5,1,0,0,0,0,0.0,101,46,55,1,0,0,,2025
19,Zack Baun,29,PHI,LB,13,13,1,0,0,0,6,1,0,1,0,0,3.5,104,55,49,6,5,0,,2025
20,Keeanu Benton,24,PIT,DT,13,13,0,0,0,0,1,0,0,0,0,0,4.5,38,17,21,5,10,0,,2025
21,Cole Bishop,23,BUF,S,13,13,3,16,0,12,7,0,0,0,0,0,2.0,71,44,27,3,2,0,,2025
22,Reed Blankenship,26,PHI,S,13,13,1,0,0,0,4,1,0,1,0,0,0.0,72,46,26,1,0,0,,2025
23,Nick Bolton,25,KAN,LB,13,13,0,0,0,0,5,1,0,0,0,0,0.0,112,54,58,7,5,0,,2025
24,Tanor Bortolini,23,IND,C,13,13,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,2025
25,Garrett Bradbury,30,NWE,C,13,13,0,0,0,0,0,0,2,0,-27,0,0.0,0,0,0,0,0,0,,2025
26,Bryan Bresee,24,NOR,DT,13,13,0,0,0,0,4,1,0,0,0,0,2.5,33,14,19,4,8,0,,2025
27,Jaquan Brisker,26,CHI,DB,13,13,1,32,0,32,5,0,0,0,0,0,1.0,64,40,24,1,3,0,,2025
28,Jordyn Brooks,28,MIA,LB,13,13,0,0,0,0,0,1,0,1,2,0,2.5,142,81,61,10,3,0,,2025
29,Chase Brown,25,CIN,RB,13,13,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,2025
30,Derrick Brown,27,CAR,DT,13,13,0,0,0,0,7,1,0,0,0,0,4.0,45,21,24,4,9,0,,2025
31,Orlando Brown Jr.,29,CIN,OT,13,13,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,2025
32,Coby Bryant,26,SEA,FS,13,13,3,43,0,28,6,1,1,0,0,0,0.0,58,36,22,4,0,0,,2025
33,Calen Bullock,22,HOU,S,13,13,4,40,0,29,7,1,0,0,0,0,0.0,47,36,11,0,0,0,,2025
34,Brian Burns,27,NYG,OLB,13,13,0,0,0,0,7,2,0,0,0,0,13.0,56,35,21,18,22,0,,2025
35,Devin Bush Jr.,27,CLE,LB,13,13,2,67,1,44,7,1,0,1,0,0,2.0,91,46,45,6,4,0,,2025
36,Kevin Byard,32,CHI,DB,13,13,6,70,0,35,7,0,0,0,0,0,0.0,72,52,20,4,0,0,,2025
37,Camryn Bynum,27,IND,S,13,13,3,14,0,14,7,1,0,1,0,0,1.0,57,33,24,3,0,0,,2025
38,Calais Campbell,39,ARI,DL,13,13,0,0,0,0,2,0,0,0,0,0,5.5,35,20,15,8,14,0,,2025
39,Jack Campbell,25,DET,LB,13,13,0,0,0,0,1,3,0,1,2,0,5.0,129,67,62,9,5,0,,2025
40,Jeremy Chinn,27,LVR,S,13,13,0,0,0,0,2,2,0,0,0,0,1.0,104,59,45,3,2,0,,2025
41,Bradley Chubb,29,MIA,LB,13,13,0,0,0,0,0,1,0,1,2,0,6.5,35,18,17,6,16,0,,2025
42,Kenny Clark,30,DAL,DT,13,13,0,0,0,0,0,0,0,0,0,0,3.0,27,13,14,5,8,0,,2025
43,Chamarri Conner,25,KAN,DB,13,13,0,0,0,0,1,2,0,0,0,0,1.0,91,55,36,2,3,0,,2025
44,Bryan Cook,26,KAN,S,13,13,0,0,0,0,4,0,0,0,0,0,0.0,55,34,21,1,0,0,,2025
45,James Cook,26,BUF,RB,13,13,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,0,0,,2025
46,Edgerrin Cooper,24,GNB,LB,13,13,0,0,0,0,3,2,0,0,0,0,0.5,97,50,47,2,3,0,,2025
47,Jonathon Cooper,27,DEN,OLB,13,13,0,0,0,0,4,0,0,0,0,0,7.5,41,20,21,8,12,0,,2025
48,Maxx Crosby,28,LVR,DE,13,13,1,19,0,19,6,2,0,0,0,0,9.0,63,39,24,25,18,0,,2025
49,Nick Cross,24,IND,S,13,13,1,0,0,0,5,0,0,0,0,0,2.5,89,53,36,4,5,0,,2025
50,Kamren Curl,26,LAR,S,13,13,2,0,0,0,4,0,0,0,0,0,2.0,97,66,31,2,2,0,,2025
51,Drew Dalman,27,CHI,OL,13,13,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,2025
52,Sam Darnold,28,SEA,QB,13,13,0,0,0,0,0,0,7,0,0,0,0.0,0,0,0,0,0,0,,2025
53,Lavonte David,35,TAM,LB,13,13,1,3,0,3,2,1,0,1,0,0,2.5,89,45,44,7,5,0,,2025
54,Carlton Davis,28,NWE,CB,13,13,0,0,0,0,8,0,0,0,0,0,0.0,52,27,25,1,1,0,,2025
55,Demario Davis,36,NOR,LB,13,13,0,0,0,0,2,2,0,1,0,0,0.0,118,57,61,5,1,0,,2025
56,Jordan Davis,25,PHI,DT,13,13,0,0,0,0,6,0,0,0,0,0,4.5,55,27,28,7,6,0,,2025
57,Kalia Davis,27,SFO,DL,13,13,0,0,0,0,1,0,0,0,0,0,0.5,21,8,13,3,2,0,,2025
58,Cooper DeJean,22,PHI,DB,13,13,1,21,0,21,12,1,0,0,0,0,0.0,75,50,25,4,1,0,,2025
59,SirVocea Dennis,25,TAM,LB,13,13,1,0,0,0,5,0,0,0,0,0,2.0,84,54,30,7,5,0,,2025
60,Gervon Dexter,24,CHI,DL,13,13,0,0,0,0,0,0,0,2,0,0,4.0,29,13,16,4,6,0,,2025
61,YaYa Diaby,26,TAM,OLB,13,13,0,0,0,0,1,1,0,0,0,0,6.0,35,21,14,9,14,0,,2025
62,Jordan Elliott,28,SFO,DL,13,13,0,0,0,0,0,0,0,0,0,0,0.0,29,7,22,1,1,0,,2025
63,Kaden Elliss,30,ATL,LB,13,13,1,16,0,16,4,1,0,0,0,0,3.5,88,49,39,9,10,0,,2025
64,Zach Ertz,35,WAS,TE,13,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,2025
65,Travis Etienne,26,JAX,RB,13,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,2025
66,Braden Fiske,25,LAR,DE,13,13,0,0,0,0,1,0,0,1,0,0,2.0,25,10,15,3,6,0,,2025
67,Minkah Fitzpatrick,29,MIA,S,13,13,1,7,0,7,6,1,0,2,0,0,1.0,76,54,22,3,2,0,,2025
68,Zay Flowers,25,BAL,WR,13,13,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,2025
69,Zaire Franklin,29,IND,LB,13,13,0,0,0,0,4,1,0,0,0,0,2.0,94,45,49,4,6,0,,2025
70,Hjalte Froholdt,29,ARI,OL,13,13,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,,2025
