,Year,Rank,Player,Votes,Games,Games_Started,Age,Pass_QBrec,Pass_Rate,Pass_QBR,Pass_Y_per_A,Pass_AY_per_A,Pass_Y_per_C,Pass_Y_per_G,Pass_NY_per_A,Pass_ANY_per_A,Pass_Sk,Pass_4QC,Pass_GWD,Pass_Completions,Pass_Attempts,Pass_Yards,Pass_Touchdowns,Pass_Interceptions,Rush_Attempts,Rush_Yards,Rush_Touchdowns,Scrim_Receiving_Tgt,Scrim_Receiving_Y_R,Scrim_Receiving_1D,Scrim_Receiving_Succ_Pct,Scrim_Receiving_Lng,Scrim_Receiving_R_G,Scrim_Receiving_Y_G,Scrim_Receiving_Ctch_Pct,Scrim_Receiving_Y_Tgt,Rec_Receptions,Rec_Yards,Rec_Touchdowns,Scrim_Scrimmage_Touch,Scrim_Scrimmage_Y_Tch,Scrim_Scrimmage_YScm,Scrim_Scrimmage_RRTD,Def_Solo,Def_Sk,Def_Int,Scrim_Rushing_1D,Scrim_Rushing_Succ_Pct,Scrim_Rushing_Lng,Scrim_Rushing_Y_A,Scrim_Rushing_Y_G,Scrim_Rushing_A_G
0,2024,1,Josh Allen,90.0,17,17,28.0,,101.4,74.8,7.7,8.33,12.2,219.5,7.38,7.96,14.0,0.0,2.0,307,483,3731,28,6,102,531,12,0.0,,0.0,,7.0,0.0,0.4,,,0,7,1,102.0,5.3,538.0,13.0,0.0,0.0,0.0,52.0,64.7,30.0,5.2,31.2,6.0
1,2024,2,Lamar Jackson,84.0,17,17,27.0,,119.6,74.8,8.8,10.15,13.2,245.4,8.09,9.38,23.0,2.0,2.0,316,474,4172,41,4,139,915,4,0.0,,0.0,,,0.0,0.0,,,0,0,0,139.0,6.6,915.0,4.0,0.0,0.0,0.0,47.0,56.1,48.0,6.6,53.8,8.2
2,2024,3,Saquon Barkley,28.0,16,16,27.0,,,0.1,,,,0.0,-2.0,-2.0,1.0,0.0,0.0,0,0,0,0,0,345,2005,13,43.0,8.4,12.0,44.2,43.0,2.1,17.4,76.7,6.5,33,278,2,378.0,6.0,2283.0,15.0,0.0,0.0,0.0,82.0,52.5,72.0,5.8,125.3,21.6
3,2024,4,Joe Burrow,20.0,17,17,28.0,,108.5,72.1,7.5,8.24,10.7,289.3,6.63,7.28,48.0,1.0,2.0,460,652,4918,43,9,42,201,2,0.0,,0.0,,,0.0,0.0,,,0,0,0,42.0,4.8,201.0,2.0,0.0,0.0,0.0,16.0,47.6,47.0,4.8,11.8,2.5
4,2024,5,Jared Goff,11.0,17,17,30.0,,111.8,65.4,8.6,8.96,11.9,272.3,7.71,8.06,31.0,4.0,4.0,390,539,4629,37,12,35,56,0,1.0,7.0,1.0,100.0,7.0,0.1,0.4,100.0,7.0,1,7,1,36.0,1.8,63.0,1.0,0.0,0.0,0.0,9.0,34.3,10.0,1.6,3.3,2.1
5,2024,6,Patrick Mahomes,7.0,16,16,29.0,,93.5,64.6,6.8,6.8,10.0,245.5,5.98,6.02,36.0,5.0,7.0,392,581,3928,26,11,58,307,2,1.0,2.0,0.0,0.0,2.0,0.1,0.1,100.0,2.0,1,2,0,59.0,5.2,309.0,2.0,0.0,0.0,0.0,22.0,50.0,33.0,5.3,19.2,3.6
6,2024,7,Jayden Daniels,2.0,17,17,24.0,,100.1,67.7,7.4,7.63,10.8,209.9,6.32,6.5,47.0,4.0,4.0,331,480,3568,25,9,148,891,6,0.0,,0.0,,,0.0,0.0,,,0,0,0,148.0,6.0,891.0,6.0,0.0,0.0,0.0,55.0,62.8,46.0,6.0,52.4,8.7
7,2024,8,Ja'Marr Chase,1.0,17,16,24.0,,,,,,,,,,,,,0,0,0,0,0,3,32,0,175.0,13.4,75.0,62.3,70.0,7.5,100.5,72.6,9.8,127,1708,17,130.0,13.4,1740.0,17.0,0.0,0.0,0.0,2.0,100.0,14.0,10.7,1.9,0.2
8,2024,9,Justin Herbert,1.0,17,17,26.0,,101.7,61.7,7.7,8.32,11.7,227.6,6.65,7.25,41.0,1.0,2.0,332,504,3870,23,3,69,306,2,0.0,,0.0,,,0.0,0.0,,,0,0,0,69.0,4.4,306.0,2.0,0.0,0.0,0.0,23.0,46.4,41.0,4.4,18.0,4.1
9,2024,10,Sam Darnold,1.0,17,17,27.0,,102.5,57.3,7.9,8.22,12.0,254.1,6.72,6.99,48.0,3.0,5.0,361,545,4319,35,12,67,212,1,0.0,,0.0,,,0.0,0.0,,,0,0,0,67.0,3.2,212.0,1.0,0.0,0.0,0.0,23.0,41.8,19.0,3.2,12.5,3.9
