Pass_Rk,Player,Pass_Age,Pass_Team,Pass_Pos,Pass_G,Pass_GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_Awards,Year
19.0,Joe Flacco,40.0,2TM,QB,10.0,10.0,2-8-0,247.0,410.0,60.2,2451.0,15.0,3.7,10.0,2.4,114.0,41.8,44.0,6.0,5.61,9.9,245.1,79.2,,18.0,118.0,4.21,5.45,5.1,2.0,2.0,,2025
21.0,Aaron Rodgers,42.0,PIT,QB,12.0,12.0,7-5-0,225.0,344.0,65.4,2370.0,20.0,5.8,7.0,2.0,95.0,43.1,80.0,6.9,7.14,10.5,197.5,96.2,42.3,20.0,130.0,5.49,6.15,6.39,1.0,2.0,,2025
48.0,Andy Dalton,38.0,CAR,QB,4.0,1.0,0-1-0,25.0,37.0,67.6,293.0,1.0,2.7,1.0,2.7,17.0,46.7,33.0,7.9,7.24,11.7,73.3,89.1,11.6,8.0,54.0,17.78,5.31,4.76,0.0,0.0,,2025
67.0,Anthony Richardson,23.0,IND,QB,2.0,0.0,,1.0,2.0,50.0,9.0,0.0,0.0,0.0,0.0,1.0,50.0,9.0,4.5,4.5,9.0,4.5,62.5,,0.0,0.0,0.0,4.5,4.5,0.0,0.0,,2025
15.0,Baker Mayfield,30.0,TAM,QB,13.0,13.0,7-6-0,257.0,417.0,61.6,2722.0,20.0,4.8,6.0,1.4,121.0,40.1,77.0,6.5,6.84,10.6,209.4,90.6,60.0,24.0,165.0,5.44,5.8,6.09,4.0,4.0,,2025
11.0,Bo Nix,25.0,DEN,QB,13.0,13.0,11-2-0,297.0,470.0,63.2,2954.0,19.0,4.0,9.0,1.9,149.0,45.3,52.0,6.3,6.23,9.9,227.2,86.4,55.8,16.0,87.0,3.29,5.9,5.85,5.0,6.0,,2025
51.0,Brady Cook,24.0,NYJ,QB,1.0,0.0,,14.0,30.0,46.7,163.0,0.0,0.0,2.0,6.7,8.0,30.6,24.0,5.4,2.43,11.6,163.0,35.8,6.6,6.0,27.0,16.67,3.78,1.28,0.0,0.0,,2025
69.0,Breece Hall,24.0,NYJ,RB,13.0,13.0,,1.0,1.0,100.0,4.0,1.0,100.0,0.0,0.0,1.0,100.0,4.0,4.0,24.0,4.0,0.3,122.9,100.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,,2025
81.0,Brett Rypien,29.0,CIN,QB,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,0.0,1.0,2.0,100.0,-2.0,-2.0,0.0,0.0,,2025
34.0,Brock Purdy,26.0,SFO,QB,5.0,5.0,4-1-0,106.0,160.0,66.3,1147.0,9.0,5.6,7.0,4.4,67.0,53.7,45.0,7.2,6.33,10.8,229.4,87.7,68.9,4.0,36.0,2.44,6.77,5.95,1.0,1.0,,2025
22.0,Bryce Young,24.0,CAR,QB,12.0,12.0,7-5-0,230.0,363.0,63.4,2337.0,18.0,5.0,9.0,2.5,121.0,44.9,54.0,6.4,6.31,10.2,194.8,87.9,45.9,22.0,162.0,5.71,5.65,5.53,4.0,5.0,,2025
23.0,C.J. Stroud,24.0,HOU,QB,10.0,10.0,5-5-0,198.0,308.0,64.3,2181.0,12.0,3.9,6.0,1.9,98.0,43.6,53.0,7.1,6.98,11.0,218.1,90.0,62.6,22.0,185.0,6.67,6.05,5.96,0.0,2.0,,2025
12.0,Caleb Williams,24.0,CHI,QB,13.0,13.0,9-4-0,249.0,431.0,57.8,2908.0,19.0,4.4,6.0,1.4,139.0,41.5,65.0,6.7,7.0,11.7,223.7,87.2,53.3,20.0,135.0,4.43,6.15,6.39,5.0,5.0,,2025
61.0,Cam Akers,26.0,MIN,RB,3.0,0.0,,1.0,1.0,100.0,32.0,1.0,100.0,0.0,0.0,1.0,100.0,32.0,32.0,52.0,32.0,10.7,158.3,100.0,0.0,0.0,0.0,32.0,52.0,0.0,0.0,,2025
17.0,Cam Ward,23.0,TEN,QB,13.0,13.0,2-11-0,260.0,440.0,59.1,2468.0,9.0,2.0,7.0,1.6,120.0,37.4,47.0,5.6,5.3,9.5,189.8,74.9,30.9,49.0,371.0,10.02,4.29,4.01,1.0,1.0,,2025
32.0,Carson Wentz,33.0,MIN,QB,5.0,5.0,2-3-0,110.0,169.0,65.1,1216.0,6.0,3.6,5.0,3.0,58.0,45.2,81.0,7.2,6.57,11.1,243.2,85.8,42.9,19.0,125.0,10.11,5.8,5.24,1.0,1.0,,2025
80.0,Chris Olave,25.0,NOR,WR,13.0,13.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,,,0.0,-45.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,,2025
79.0,Christian McCaffrey,29.0,SFO,RB,13.0,13.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025
77.0,Cole Kmet,26.0,CHI,TE,12.0,11.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025
78.0,Cooper Kupp,32.0,SEA,WR,12.0,12.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,,,0.0,-45.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,,2025
47.0,Cooper Rush,32.0,BAL,QB,4.0,2.0,0-2-0,34.0,52.0,65.4,303.0,0.0,0.0,4.0,7.7,13.0,41.5,56.0,5.8,2.37,8.9,75.8,48.8,29.0,1.0,16.0,1.89,5.42,2.02,0.0,0.0,,2025
82.0,Courtland Sutton,30.0,DEN,WR,13.0,13.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,0.0,1.0,5.0,100.0,-5.0,-5.0,0.0,0.0,,2025
72.0,D.J. Moore,28.0,CHI,WR,13.0,13.0,,1.0,1.0,100.0,2.0,1.0,100.0,0.0,0.0,1.0,100.0,2.0,2.0,22.0,2.0,0.2,118.7,,0.0,0.0,0.0,2.0,22.0,0.0,0.0,,2025
1.0,Dak Prescott,32.0,DAL,QB,13.0,13.0,6-6-1,334.0,484.0,69.0,3637.0,26.0,5.4,10.0,2.1,178.0,49.0,74.0,7.5,7.66,10.9,279.8,100.2,73.4,22.0,155.0,4.35,6.88,7.02,4.0,3.0,,2025
7.0,Daniel Jones,28.0,IND,QB,13.0,13.0,8-5-0,261.0,384.0,68.0,3101.0,19.0,4.9,8.0,2.1,149.0,52.0,75.0,8.1,8.13,11.9,238.5,100.2,64.1,22.0,158.0,5.42,7.25,7.3,3.0,3.0,,2025
70.0,David Montgomery,28.0,DET,RB,13.0,0.0,,1.0,2.0,50.0,3.0,1.0,50.0,0.0,0.0,1.0,50.0,3.0,1.5,11.5,3.0,0.2,95.8,88.7,0.0,0.0,0.0,1.5,11.5,0.0,0.0,,2025
38.0,Davis Mills,27.0,HOU,QB,5.0,3.0,3-0-0,88.0,150.0,58.7,879.0,5.0,3.3,1.0,0.7,46.0,40.5,54.0,5.9,6.23,10.0,175.8,83.7,45.6,8.0,60.0,5.06,5.18,5.53,1.0,2.0,,2025
75.0,Derrick Henry,31.0,BAL,RB,13.0,13.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025
37.0,Dillon Gabriel,25.0,CLE,QB,9.0,6.0,1-5-0,110.0,185.0,59.5,937.0,7.0,3.8,2.0,1.1,45.0,33.0,26.0,5.1,5.34,8.5,104.1,80.8,31.4,18.0,125.0,8.87,4.0,4.25,0.0,0.0,,2025
2.0,Drake Maye,23.0,NWE,QB,13.0,13.0,11-2-0,276.0,386.0,71.5,3412.0,23.0,6.0,6.0,1.6,158.0,52.6,72.0,8.8,9.33,12.4,262.5,111.9,72.2,40.0,178.0,9.39,7.59,8.04,0.0,1.0,,2025
64.0,Drew Lock,29.0,SEA,QB,5.0,0.0,,2.0,3.0,66.7,15.0,0.0,0.0,0.0,0.0,1.0,33.3,11.0,5.0,5.0,7.5,3.0,78.5,4.8,0.0,0.0,0.0,5.0,5.0,0.0,0.0,,2025
16.0,Geno Smith,35.0,LVR,QB,13.0,13.0,2-11-0,266.0,397.0,67.0,2648.0,16.0,4.0,14.0,3.5,132.0,45.7,61.0,6.7,5.89,10.0,203.7,84.5,32.5,49.0,350.0,10.99,5.15,4.46,0.0,0.0,,2025
60.0,Gunner Olszewski,29.0,NYG,WR,13.0,0.0,,1.0,1.0,100.0,33.0,1.0,100.0,0.0,0.0,1.0,100.0,33.0,33.0,53.0,33.0,2.5,158.3,100.0,0.0,0.0,0.0,33.0,53.0,0.0,0.0,,2025
84.0,Isaiah Williams,24.0,NYJ,WR,11.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,39.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025
35.0,J.J. McCarthy,22.0,MIN,QB,7.0,7.0,3-4-0,102.0,182.0,56.0,1092.0,9.0,4.9,10.0,5.5,55.0,38.3,62.0,6.0,4.52,10.7,156.0,67.4,27.5,24.0,124.0,11.65,4.7,3.39,1.0,1.0,,2025
