RecAdv_Unnamed: 0_level_0 Rk,Player,RecAdv_Unnamed: 2_level_0 Age,RecAdv_Unnamed: 3_level_0 Team,RecAdv_Unnamed: 4_level_0 Pos,RecAdv_Unnamed: 5_level_0 G,RecAdv_Unnamed: 6_level_0 GS,RecAdv_Receiving Tgt,RecAdv_Receiving Rec,RecAdv_Receiving Yds,RecAdv_Receiving 1D,RecAdv_Receiving YBC,RecAdv_Receiving YBC/R,RecAdv_Receiving YAC,RecAdv_Receiving YAC/R,RecAdv_Receiving ADOT,RecAdv_Receiving BrkTkl,RecAdv_Receiving Rec/Br,RecAdv_Receiving Drop,RecAdv_Receiving Drop%,RecAdv_Receiving Int,RecAdv_Receiving Rat,RecAdv_Unnamed: 22_level_0 Awards,Year
1.0,Trey McBride,26.0,ARI,TE,13.0,13.0,127.0,93.0,937.0,49.0,534.0,5.7,403.0,4.3,7.2,6.0,15.5,1.0,0.8,0.0,114.8,,2025
2.0,Puka Nacua,24.0,LAR,WR,12.0,11.0,118.0,93.0,1186.0,58.0,754.0,8.1,432.0,4.6,9.2,6.0,15.5,2.0,1.7,1.0,122.0,,2025
3.0,Ja'Marr Chase,25.0,CIN,WR,12.0,12.0,139.0,91.0,1015.0,51.0,555.0,6.1,460.0,5.1,8.6,5.0,18.2,3.0,2.2,4.0,87.1,,2025
4.0,Jaxon Smith-Njigba,23.0,SEA,WR,13.0,13.0,121.0,89.0,1428.0,63.0,1039.0,11.7,389.0,4.4,12.1,3.0,29.7,3.0,2.5,3.0,127.0,,2025
5.0,Christian McCaffrey,29.0,SFO,RB,13.0,13.0,107.0,85.0,806.0,41.0,163.0,1.9,643.0,7.6,2.3,9.0,9.4,7.0,6.5,2.0,105.8,,2025
6.0,Amon-Ra St. Brown,26.0,DET,WR,13.0,13.0,117.0,81.0,976.0,47.0,573.0,7.1,403.0,5.0,8.2,3.0,27.0,8.0,6.8,3.0,109.5,,2025
7.0,George Pickens,24.0,DAL,WR,13.0,11.0,114.0,78.0,1179.0,62.0,797.0,10.2,382.0,4.9,11.8,4.0,19.5,4.0,3.5,3.0,114.6,,2025
8.0,Chris Olave,25.0,NOR,WR,13.0,13.0,120.0,76.0,811.0,36.0,617.0,8.1,194.0,2.6,11.2,2.0,38.0,5.0,4.2,4.0,83.0,,2025
9.0,Jake Ferguson,26.0,DAL,TE,13.0,7.0,90.0,75.0,554.0,27.0,266.0,3.5,288.0,3.8,4.5,6.0,12.5,2.0,2.2,1.0,113.6,,2025
10.0,Wan'Dale Robinson,24.0,NYG,WR,13.0,12.0,110.0,73.0,828.0,31.0,508.0,7.0,320.0,4.4,8.6,4.0,18.3,4.0,3.6,2.0,90.3,,2025
11.0,Michael Pittman Jr.,28.0,IND,WR,13.0,12.0,94.0,69.0,699.0,42.0,471.0,6.8,228.0,3.3,7.9,3.0,23.0,5.0,5.3,4.0,101.3,,2025
12.0,Zay Flowers,25.0,BAL,WR,13.0,13.0,95.0,68.0,891.0,35.0,519.0,7.6,372.0,5.5,9.7,9.0,7.6,6.0,6.3,1.0,99.9,,2025
13.0,Stefon Diggs,32.0,NWE,WR,13.0,13.0,79.0,64.0,705.0,37.0,469.0,7.3,236.0,3.7,8.5,1.0,64.0,3.0,3.8,2.0,106.0,,2025
14.0,Justin Jefferson,26.0,MIN,WR,13.0,13.0,109.0,64.0,810.0,35.0,468.0,7.3,342.0,5.3,11.2,3.0,21.3,1.0,0.9,9.0,53.7,,2025
15.0,DeVonta Smith,27.0,PHI,WR,13.0,13.0,94.0,64.0,839.0,35.0,587.0,9.2,252.0,3.9,11.7,0.0,,2.0,2.1,1.0,102.2,,2025
16.0,Keenan Allen,33.0,LAC,WR,13.0,3.0,94.0,63.0,644.0,40.0,467.0,7.4,177.0,2.8,8.6,2.0,31.5,4.0,4.3,2.0,91.8,,2025
17.0,A.J. Brown,28.0,PHI,WR,12.0,12.0,100.0,62.0,799.0,36.0,592.0,9.5,207.0,3.3,12.0,5.0,12.4,1.0,1.0,3.0,94.5,,2025
18.0,Kyle Pitts,25.0,ATL,TE,13.0,13.0,85.0,62.0,631.0,31.0,356.0,5.7,275.0,4.4,7.5,1.0,62.0,2.0,2.4,2.0,87.9,,2025
19.0,Deebo Samuel,29.0,WAS,WR,12.0,8.0,81.0,62.0,561.0,24.0,222.0,3.6,339.0,5.5,5.3,4.0,15.5,5.0,6.2,2.0,105.0,,2025
20.0,Dalton Schultz,29.0,HOU,TE,13.0,4.0,84.0,62.0,574.0,29.0,314.0,5.1,260.0,4.2,6.5,1.0,62.0,2.0,2.4,0.0,96.0,,2025
21.0,Nico Collins,26.0,HOU,WR,12.0,12.0,103.0,61.0,916.0,39.0,666.0,10.9,250.0,4.1,12.4,1.0,61.0,1.0,1.0,1.0,97.4,,2025
22.0,Michael Wilson,25.0,ARI,WR,13.0,9.0,94.0,61.0,712.0,38.0,531.0,8.7,181.0,3.0,11.2,3.0,20.3,1.0,1.1,2.0,89.5,,2025
23.0,Travis Kelce,36.0,KAN,TE,13.0,13.0,83.0,60.0,727.0,37.0,342.0,5.7,385.0,6.4,6.7,1.0,60.0,7.0,8.4,3.0,103.8,,2025
24.0,Drake London,24.0,ATL,WR,9.0,9.0,94.0,60.0,810.0,39.0,587.0,9.8,223.0,3.7,10.3,0.0,,0.0,0.0,1.0,108.0,,2025
