Rec_Unnamed: 0_level_0 Rk,Player,Rec_Unnamed: 2_level_0 Age,Rec_Unnamed: 3_level_0 Team,Rec_Unnamed: 4_level_0 Pos,Rec_Unnamed: 5_level_0 G,Rec_Unnamed: 6_level_0 GS,Rec_Receiving Tgt,Rec_Receiving Rec,Rec_Receiving Yds,Rec_Receiving Y/R,Rec_Receiving TD,Rec_Receiving 1D,Rec_Receiving Succ%,Rec_Receiving Lng,Rec_Receiving R/G,Rec_Receiving Y/G,Rec_Receiving Ctch%,Rec_Receiving Y/Tgt,Rec_Unnamed: 19_level_0 Fmb,Rec_Unnamed: 20_level_0 Awards,Year
1.0,Trey McBride,26.0,ARI,TE,13.0,13.0,127.0,93.0,937.0,10.1,8.0,49.0,63.0,31.0,7.2,72.1,73.2,7.4,0.0,,2025
2.0,Puka Nacua,24.0,LAR,WR,12.0,11.0,118.0,93.0,1186.0,12.8,6.0,58.0,71.2,39.0,7.8,98.8,78.8,10.1,1.0,,2025
3.0,Ja'Marr Chase,25.0,CIN,WR,12.0,12.0,139.0,91.0,1015.0,11.2,5.0,51.0,54.7,64.0,7.6,84.6,65.5,7.3,1.0,,2025
4.0,Jaxon Smith-Njigba,23.0,SEA,WR,13.0,13.0,121.0,89.0,1428.0,16.0,9.0,63.0,62.8,63.0,6.8,109.8,73.6,11.8,3.0,,2025
5.0,Christian McCaffrey,29.0,SFO,RB,13.0,13.0,107.0,85.0,806.0,9.5,5.0,41.0,58.9,39.0,6.5,62.0,79.4,7.5,2.0,,2025
6.0,Amon-Ra St. Brown,26.0,DET,WR,13.0,13.0,117.0,81.0,976.0,12.0,9.0,47.0,59.0,37.0,6.2,75.1,69.2,8.3,1.0,,2025
7.0,George Pickens,24.0,DAL,WR,13.0,11.0,114.0,78.0,1179.0,15.1,8.0,62.0,65.8,45.0,6.0,90.7,68.4,10.3,4.0,,2025
8.0,Chris Olave,25.0,NOR,WR,13.0,13.0,120.0,76.0,811.0,10.7,5.0,36.0,48.3,62.0,5.8,62.4,63.3,6.8,0.0,,2025
9.0,Jake Ferguson,26.0,DAL,TE,13.0,7.0,90.0,75.0,554.0,7.4,7.0,27.0,52.2,26.0,5.8,42.6,83.3,6.2,3.0,,2025
10.0,Wan'Dale Robinson,24.0,NYG,WR,13.0,12.0,110.0,73.0,828.0,11.3,3.0,31.0,42.7,50.0,5.6,63.7,66.4,7.5,1.0,,2025
11.0,Michael Pittman Jr.,28.0,IND,WR,13.0,12.0,94.0,69.0,699.0,10.1,7.0,42.0,60.6,27.0,5.3,53.8,73.4,7.4,0.0,,2025
12.0,Zay Flowers,25.0,BAL,WR,13.0,13.0,95.0,68.0,891.0,13.1,1.0,35.0,57.9,56.0,5.2,68.5,71.6,9.4,2.0,,2025
13.0,Stefon Diggs,32.0,NWE,WR,13.0,13.0,79.0,64.0,705.0,11.0,3.0,37.0,65.8,33.0,4.9,54.2,81.0,8.9,0.0,,2025
14.0,Justin Jefferson,26.0,MIN,WR,13.0,13.0,109.0,64.0,810.0,12.7,2.0,35.0,45.0,50.0,4.9,62.3,58.7,7.4,0.0,,2025
15.0,DeVonta Smith,27.0,PHI,WR,13.0,13.0,94.0,64.0,839.0,13.1,3.0,35.0,50.0,79.0,4.9,64.5,68.1,8.9,0.0,,2025
16.0,Keenan Allen,33.0,LAC,WR,13.0,3.0,94.0,63.0,644.0,10.2,4.0,40.0,58.5,31.0,4.8,49.5,67.0,6.9,1.0,,2025
17.0,A.J. Brown,28.0,PHI,WR,12.0,12.0,100.0,62.0,799.0,12.9,6.0,36.0,49.0,45.0,5.2,66.6,62.0,8.0,0.0,,2025
18.0,Kyle Pitts,25.0,ATL,TE,13.0,13.0,85.0,62.0,631.0,10.2,1.0,31.0,50.6,30.0,4.8,48.5,72.9,7.4,0.0,,2025
19.0,Deebo Samuel,29.0,WAS,WR,12.0,8.0,81.0,62.0,561.0,9.0,5.0,24.0,55.6,38.0,5.2,46.8,76.5,6.9,2.0,,2025
20.0,Dalton Schultz,29.0,HOU,TE,13.0,4.0,84.0,62.0,574.0,9.3,1.0,29.0,58.3,47.0,4.8,44.2,73.8,6.8,0.0,,2025
21.0,Nico Collins,26.0,HOU,WR,12.0,12.0,103.0,61.0,916.0,15.0,4.0,39.0,47.6,54.0,5.1,76.3,59.2,8.9,1.0,,2025
22.0,Michael Wilson,25.0,ARI,WR,13.0,9.0,94.0,61.0,712.0,11.7,3.0,38.0,55.3,50.0,4.7,54.8,64.9,7.6,0.0,,2025
23.0,Travis Kelce,36.0,KAN,TE,13.0,13.0,83.0,60.0,727.0,12.1,5.0,37.0,63.9,44.0,4.6,55.9,72.3,8.8,0.0,,2025
24.0,Drake London,24.0,ATL,WR,9.0,9.0,94.0,60.0,810.0,13.5,6.0,39.0,58.5,43.0,6.7,90.0,63.8,8.6,1.0,,2025
25.0,Tyler Warren,23.0,IND,TE,13.0,8.0,84.0,60.0,699.0,11.7,4.0,34.0,58.3,41.0,4.6,53.8,71.4,8.3,1.0,,2025
26.0,Harold Fannin,21.0,CLE,TE,13.0,10.0,85.0,59.0,619.0,10.5,4.0,27.0,42.4,35.0,4.5,47.6,69.4,7.3,1.0,,2025
27.0,Ladd McConkey,24.0,LAC,WR,13.0,10.0,95.0,59.0,695.0,11.8,5.0,32.0,50.5,58.0,4.5,53.5,62.1,7.3,0.0,,2025
28.0,Jahmyr Gibbs,23.0,DET,RB,13.0,13.0,66.0,58.0,474.0,8.2,3.0,21.0,53.0,42.0,4.5,36.5,87.9,7.2,0.0,,2025
29.0,Juwan Johnson,29.0,NOR,TE,13.0,7.0,80.0,58.0,614.0,10.6,3.0,30.0,55.0,52.0,4.5,47.2,72.5,7.7,1.0,,2025
30.0,CeeDee Lamb,26.0,DAL,WR,10.0,9.0,89.0,57.0,865.0,15.2,3.0,33.0,51.7,74.0,5.7,86.5,64.0,9.7,0.0,,2025
31.0,Tetairoa McMillan,22.0,CAR,WR,13.0,13.0,98.0,57.0,826.0,14.5,6.0,46.0,53.1,43.0,4.4,63.5,58.2,8.4,0.0,,2025
